CRM;FANTASIA;CNPJ;TELEFONE;CIDADE;ENDERECO;BAIRRO;CEP;CODIGO_IBGE;ESTADO;ATIVO;STATUS;DIAS_LIBERADOS;MODULOS
39136;Drogaria Pavione - Rede Inova ;86.442.209/0001-20;313847-1161 / 31;Timóteo;Av Acesita 3824;Centro Sul;35181-619;3168705;MG;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,HOS FISCAL: 4,HOSTRIBUTARIO: 4,HOSCHAT: 4
39137;Farmacia Castro - MARIO VISDOM;17.185.507/0001-60;7736622273 / 77;Palmas de Monte Alto;Rua Castro Alves 29;Centro;46463-200;2923407;BA;Sim;CLIENTE;5.0;MERCHFARMA: 5,HOS P344: 5,HOSTRIBUTARIO: 4
39138;Farma Bezerra - IMP;43.120.298/0001-86;86998166622 / 86;Vitorino Freire;Rua Deputado Boges 57 loja 01;Centro;65320-000;2113009;MA;Sim;CLIENTE;0.0;MERCHFARMA: 3,HOS P344: 3,HOSCHAT: 3
39139;Drogaria Junior - Rede Soma ;33.472.299/0001-36;99988372901 / 99;Arame;Av Deputado Ulisses Guimaraes 1;Centro;65945-000;2100956;MA;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,HOS FISCAL: 4,HOSTRIBUTARIO: 4,HOSCLOUD BACKUP: 1,HOSCHAT: 4,HOSGESTAO: 4,INTEGRAÇÃO MAGGU: 5
39141;SG Drogaria Sao Gabriel - Rede Soma ;55.048.998/0001-96;11998431414 / 11;Biritiba-Mirim;Rua Alexandre Datallo Pedro Rocco 470;Residencial;08940-000;3506607;SP;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,HOSTRIBUTARIO: 4,PORTAL DE COTAÇÕES: 3
39142;Drogaria Melhor Farma - Rede Soma - BASE4;24.061.684/0001-08;1145415939 / 11;Mauá;Av Ayrton Senna da Silva 118;Vila Santa Cecilia;09380-440;3529401;SP;Sim;CLIENTE;3.0;MERCHFARMA: 5,HOS P344: 5,HOS REPLICADOR: 5,HOSTRIBUTARIO: 5,INTEGRAÇÃO IFOOD: 5,HOSCHAT: 5,COVISA: 5
39143;Drogaria Menor Preco - Rede Soma - BASE4;35.744.722/0001-35;1145415939 / 11;São Paulo;Tv Somos Todos Iguais 569;Jardim da Conquista;08343-000;3550308;SP;Sim;CLIENTE;1.0;MERCHFARMA: 3,HOS P344: 3,HOS REPLICADOR: 3,HOSTRIBUTARIO: 3,INTEGRAÇÃO IFOOD: 3,HOSCHAT: 3,COVISA: 3
39144;Drogaria Popular do Iguatemi - Rede Soma - BASE4;26.436.497/0001-89;1120529103 / 11;São Paulo;Rua Sandoval Meirelles 437;Jardim Iguatemi;08380-240;3550308;SP;Sim;CLIENTE;1.0;MERCHFARMA: 3,HOS P344: 4,HOS REPLICADOR: 3,HOSTRIBUTARIO: 3,INTEGRAÇÃO IFOOD: 3,HOSCHAT: 3,COVISA: 3
39147;A Farma Drogaria e Ortopedia - PAULO;39.917.510/0001-63;82999122554 / 82;Palmeira dos Índios;Rua Braulio Cavalcante 95;Centro;57600-420;2706307;AL;Sim;CLIENTE;10.0;MERCHFARMA: 4,HOS P344: 4,HOS REPLICADOR: 4,HOSTRIBUTARIO: 4
39148;Viva Farma Matriz ;00.997.960/0001-78;54981345206 / 54;Nova Prata;Av Borges de Medeiros 924;Centro;95320-000;4313300;RS;Sim;CLIENTE;30.0;MERCHFARMA: 12,HOS P344: 12,HOS FISCAL: 12,HOS REPLICADOR: 12,HOSTRIBUTARIO: 12,HOSCLOUD BACKUP: 12,HOSCHAT: 12,HOSGESTAO: 12,PORTAL DE COTAÇÕES: 12,INTEGRAÇÃO MAGGU: 12
39149;Viva Farma Filial 1 ;00.997.960/0002-59;5432422942 / 54;Nova Prata;Av Presidente Vargas 1046;Centro;95320-000;4313300;RS;Sim;CLIENTE;30.0;MERCHFARMA: 7,HOS P344: 7,HOS FISCAL: 7,HOS REPLICADOR: 7,HOSTRIBUTARIO: 7,HOSCLOUD BACKUP: 7,HOSCHAT: 7,HOSGESTAO: 7,PORTAL DE COTAÇÕES: 7,INTEGRAÇÃO MAGGU: 7
39150;Viva Farma Filial 3 ;00.997.960/0003-30;5432423330 / 54;Nova Prata;Av Fernando Luzzatto 76;Nova Prata;95320-000;4313300;RS;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6,HOS FISCAL: 6,HOS REPLICADOR: 6,HOSTRIBUTARIO: 6,HOSCLOUD BACKUP: 6,HOSCHAT: 6,HOSGESTAO: 6,PORTAL DE COTAÇÕES: 6,INTEGRAÇÃO MAGGU: 6
39151;Drogaria Farmashop Morumbi - Rede Soma - BASE4;57.670.365/0001-40;11971781014 / 11;São Paulo;Rua Henri Dunant 949;Santo Amaro;04709-111;3550308;SP;Sim;CLIENTE;1.0;MERCHFARMA: 3,HOS P344: 3,HOSTRIBUTARIO: 3,INTEGRAÇÃO IFOOD: 3,HOSCHAT: 3
