CRM;FANTASIA;CNPJ;TELEFONE;CIDADE;ENDERECO;BAIRRO;CEP;CODIGO_IBGE;ESTADO;ATIVO;STATUS;DIAS_LIBERADOS;MODULOS
36734;Farma Norte - MARCOS;17.341.193/0001-47;91982939206 / 91;Belém;PSG Bartolomeu de Gusmão 206;Cuio-Utinga;66610-190;1501402;PA;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,HOS REPLICADOR: 3
36748;Farmacia Unida;04.743.289/0001-90;4734560633 / 47;Barra Velha;Rua Parana, 308;Centro;88390-000;4202107;SC;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 5,HOSTRIBUTARIO: 5,HOSPEDIDOS: 5,INTEGRAÇÃO IFOOD: 5,HOSCHAT: 5
36766;Santa Farma;27.291.688/0001-62;5532411218 / 55984226464;Santana do Livramento;Treze de Maio, 1364 - Sala 1;Centro;97573-501;4317103;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,ESTAÇÃO ADICIONAL: 1,HOSTRIBUTARIO: 3,HOSCLOUD BACKUP: 3
36776;Farmacia Popular - LOJA SOLUCOES - (Cobrança Matriz);01.016.238/0001-78;9132561708 / 9132546679;Marituba;Rua Primeiro de Maio, 790 ;Centro;67200-000;1504422;PA;Sim;CLIENTE;1.0;MERCHFARMA: 3,HOS P344: 3
36797;Drogaria Saude Facil - ANDRE;22.435.243/0001-95;8436141534 / 84;Natal;Av. Dr. Joao Medeiros Filho, 3939 ;Pajucara;59122-365;2408102;RN;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2
36798;Drogaria Dias - COOPEFARMA - CLEONIDES;24.514.556/0001-64;8436642995 / 84;Natal;R Joao Paulo II, 522 ;Potengi;59114-150;2408102;RN;Sim;CLIENTE;10.0;MERCHFARMA: 1,HOS P344: 1,FARMÁCIA POPULAR: 1
36800;Floral Farma;27.976.053/0001-07;5433441622 / 54;Tapejara;Av 7 de Setembro, 1295;Centro;99950-000;4320909;RS;Sim;CLIENTE;15.0;FARMÁCIA POPULAR: 3,HOSCLOUD BACKUP: 2,MERCHFARMA: 3,HOS P344: 3,HOS FÓRMULA: 3
36804;Agafarma - PAULO;09.574.280/0001-16;5136221424 / 51;Capão da Canoa;R Monte Branco, 170;Arroio Teixeira;94690-001;4304630;RS;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,HOS REPLICADOR: 4,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 4,HOSTRIBUTARIO: 4,HOSCLOUD BACKUP: 3,INTEGRAÇÃO IFOOD: 5
36808;Drogaria Saude Farma - FABIANO;29.082.479/0001-34;73999107068 / 73;Canavieiras;Pc Joao Perelo, 71;Centro;45860-000;2906303;BA;Sim;CLIENTE;3.0;MERCHFARMA: 3,HOS P344: 3,HOSCLOUD BACKUP: 2
36824;Essencial Farma - BEEASY;28.334.960/0001-07;5434518541 / 54;Bento Goncalves;Rua Amelio Leonardo Casagrande ;Sao Roque;95708-428;4302105;RS;Sim;CLIENTE;5.0;MERCHFARMA: 2,HOS P344: 2,FARMÁCIA POPULAR: 2,HOSCLOUD BACKUP: 2
36826;Essencia - Filial - BEEASY - (Cobrança Matriz);03.784.801/0003-45;5433241036 / 54;Ibirubá;Rua 7 DE Setembro, 1089;Centro;98200-000;4310009;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,HOS FISCAL: 3,HOS REPLICADOR: 3,HOSTRIBUTARIO: 3
36833;Drogabel FQ 285 - BEEASY;26.710.619/0001-83;5534312540 / 55;São Borja;Av. Presidente Vargas, 2196 sala 01;Centro;97670-000;4318002;RS;Sim;CLIENTE;1.0;MERCHFARMA: 5,HOS P344: 5,HOS FISCAL: 5,MERCHCARD: 5,FARMÁCIA POPULAR: 5,FIDELIZA SIM: 5
36838;Drogaria CEF - ANDRE;15.512.867/0001-01;8433333669 / 84;Riacho da Cruz;Rua Camila de Lelles, 296;Centro;59820-000;2410702;RN;Sim;CLIENTE;10.0;MERCHFARMA: 1,HOS P344: 2,FARMÁCIA POPULAR: 2,HOSCLOUD BACKUP: 2
36874;Casa Beauty - BEEASY;22.075.875/0001-95;5434527313 / 54991377247;Bento Goncalves;Rua Jose Mario Monaco 215;Centro;95700-066;4302105;RS;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 1,HOS FISCAL: 1,HOSTRIBUTARIO: 3
36879;Drogaria Pharmavida - ANDRE;22.109.526/0001-47;8432722516 / 84;Parnamirim;Av. Maria Amelia Machado, 600, LJ 103;Emaus;59149-260;2403251;RN;Sim;CLIENTE;1.0;MERCHFARMA: 8,HOS P344: 8,HOS COMPRAS: 8,HOS FISCAL: 8,HOS REPLICADOR: 8,ESTAÇÃO ADICIONAL: 5,MERCHFISCAL SPED: 8,HOSTRIBUTARIO: 8,HOSCLOUD BACKUP: 7,HOSGESTAO: 8
36892;Farmacia Bom Preco - Rede Inova (SE);17.450.918/0001-35;2732592902 / 2732592172;Santa Teresa;Av. Angelo Pretti, 12;Centro;29650-000;3204609;ES;Sim;CLIENTE;30.0;MERCHFARMA: 20,HOS P344: 20,HOS COMPRAS: 20,HOS FINANÇAS: 20,HOS FISCAL: 20,HOS REPLICADOR: 20,ESTAÇÃO ADICIONAL: 2,HOSTRIBUTARIO: 20,HOS DIGITALIZE: 20,APP E-COMMERCE: 20,HOS ENTREGAS: 20,HOSGESTAO: 20
36899;Drogaria Sete de Outubro - Rede Inova;41.687.005/0001-11;3532222311 / 3532216579;Varginha;Av. Dr. Jose Justiniano dos Reis, 1360A;Jardim Sion;37048-000;3170701;MG;Sim;CLIENTE;15.0;MERCHFARMA: 12,HOS P344: 12,HOS COMPRAS: 12,HOS FINANÇAS: 12,HOS FISCAL: 12,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 12,HOSTRIBUTARIO: 12,APP E-COMMERCE: 12,HOSCHAT: 4,HOS ENTREGAS: 13,HOSGESTÃO PLUS: 12,SITE E-COMMERCE HOS: 12,INTEGRAÇÃO MAGGU: 1
36908;Farmacia Marinice - INOVAR;05.388.174/0001-97;9935781536 / 99;São Domingos do Maranhão;Rua Maj Delfino Calvo, 501;Centro;65790-000;2110708;MA;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,FARMÁCIA POPULAR: 3
36917;Farmacia Arcanjo Gabriel - PAULO;07.067.022/0001-18;8835424014 / 88988261999;Missão Velha;Rua Felix Italiano, 141;Jamacaru;63207-000;2308401;CE;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,HOS FISCAL: 2,HOSTRIBUTARIO: 2
36918;Farmacia Unidos - Filial 1;26.381.572/0002-32;5336118033 / 53;São Lourenço do Sul;Est RS 265 SN;Boa Vista;96170-000;4318804;RS;Sim;CLIENTE;1.0;MERCHFARMA: 2,HOS P344: 2,HOS REPLICADOR: 2,HOSTRIBUTARIO: 2
36920;Drogavida - PABLO;44.657.599/0001-06;3836349144 / 38;Urucuia;Av Guimaraes Rosa 34 C;Centro;38649-000;3170529;MG;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,HOSCLOUD BACKUP: 3
36925;Drogaria Santa Luzia - JEFFERSON;04.765.853/0001-75;8235236604 / 82;Limoeiro de Anadia;Av. do Comercio, 68;Peleve;57260-000;2704203;AL;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,FARMÁCIA POPULAR: 2,HOSTRIBUTARIO: 2
36937;Farmacia Urbis  - FABIANO;29.593.488/0001-90;7532511706 / 75;Itaberaba;Rua Francisco Gil, 887;Independente;46880-000;2914703;BA;Sim;CLIENTE;20.0;MERCHFARMA: 2,HOS P344: 2,FARMÁCIA POPULAR: 2,RECARGA CELULAR RV: 2
36949;Santa Maria - INOVAR - (Cobrança Matriz);02.368.130/0005-30;8130811063 / 81;Olinda;R Eduardo de Moraes, S/N, Loja 1050 1051 e 1052;Casa Caiada;53130-645;2609600;PE;Sim;CLIENTE;32.0;MERCHFARMA: 10,HOS P344: 10,HOS COMPRAS: 1,HOS FISCAL: 1,HOS REPLICADOR: 1,HOSTRIBUTARIO: 10,HOSGESTAO: 10
36951;Drogaria Bom Conselho - COOPEFARMA - CLEONIDES;10.724.078/0001-02;8436413342 / 84;Natal;Rua da Lagosta, 400 B;Vila de Ponta Negra;59090-200;2408102;RN;Sim;CLIENTE;1.0;MERCHFARMA: 1,HOS P344: 2,FARMÁCIA POPULAR: 2
36953;Drogaria Ferreira III - PABLO;25.924.457/0001-13;3836751230 / 38;Bonfinopolis de Minas;Rua do Comercio 172;Centro;38650-000;3108206;MG;Sim;CLIENTE;5.0;MERCHFARMA: 2,HOS P344: 2
36959;Farmacia Sao Jose - JEFFERSON;20.184.509/0001-49;8235224971 / 82;Arapiraca;Av Miguel Correia Amorim,1028;Baixao;57305-495;2700300;AL;Sim;CLIENTE;32.0;MERCHFARMA: 3,HOS P344: 3,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 3
36963;Drogaria Luciane Vila Isa - SOFTEK;09.456.833/0001-36;3332721020 / 33;Governador Valadares;Rua Virgilio Vieira 81 loja A;Sao Raimundo;35041-780;3127701;MG;Sim;CLIENTE;1.0;MERCHFARMA: 5,HOS P344: 5,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 5,HOSTRIBUTARIO: 5,HOS DIGITALIZE: 5
36986;Farmacia Sao Luiz - JEFFERSON;35.547.983/0002-46;8236221150 / 82;Santana do Ipanema;Praca Manoel Rodrigues da Rocha, 54;Centro;57500-000;2708006;AL;Sim;CLIENTE;3.0;MERCHFARMA: 6,HOS P344: 6,HOS FISCAL: 6,HOS REPLICADOR: 6,ESTAÇÃO ADICIONAL: 4,FARMÁCIA POPULAR: 6,MERCHFISCAL SPED: 6,HOSCLOUD BACKUP: 7
36987;Drogaria Amazonas - ROMULO;39.667.915/0001-90;3734010505 / 37;Abaete;Rua Frei Orlando, 155;Simao da Cunha;35620-000;3100203;MG;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,FARMÁCIA POPULAR: 4,HOSTRIBUTARIO: 4,RECARGA CELULAR RV: 4
36988;Drogaria Santa Rita - ANDRE;10.378.159/0001-06;8433722206 / 84;Viçosa;Rua Keginaldo Forte 60;Centro;59815-000;2414902;RN;Sim;CLIENTE;3.0;MERCHFARMA: 1,HOS P344: 1
36998;Drogaria Popular Pharma ;29.197.004/0001-93;35991341440 / 35;São Lourenço;Rua Dr. Ribeiro da Luz, 326;Centro;37470-000;3163706;MG;Sim;CLIENTE;10.0;MERCHFARMA: 5,HOS P344: 5,HOS FISCAL: 5,ESTAÇÃO ADICIONAL: 2,FARMÁCIA POPULAR: 5,HOSTRIBUTARIO: 5
36999;Central Farma - Rede Soma - PAULO;10.623.579/0001-00;3138681999 / 3138681133;Conceição do Mato Dentro;Avenida JK, 43 Loja 01;centro;35860-000;3117504;MG;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 5,HOS COMPRAS: 5,HOS FISCAL: 6,HOS REPLICADOR: 5,ESTAÇÃO ADICIONAL: 0,FARMÁCIA POPULAR: 5,HOSTRIBUTARIO: 5,HOSCLOUD BACKUP: 7
37000;Vitally Farma  - Rede Soma - PAULO;08.395.845/0001-35;3138682555 / 3138682351;Conceição do Mato Dentro;Pc Coronel Joao Paulo, 88;centro;35860-000;3117504;MG;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6,HOS COMPRAS: 6,HOS FISCAL: 6,HOS REPLICADOR: 6,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 6,HOSTRIBUTARIO: 6,HOSCLOUD BACKUP: 7
37001;Cirino Farma - Rede Soma - PAULO;23.340.249/0001-41;3138682655 / 3138682555;Conceição do Mato Dentro;Rua Dr Orestes Gomes Carvalho, 84;Barro vermelho;35850-000;3117504;MG;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS COMPRAS: 5,HOS REPLICADOR: 5,FARMÁCIA POPULAR: 5,HOSTRIBUTARIO: 5,HOSCLOUD BACKUP: 7
37002;Real farma - Rede Soma - PAULO;13.754.977/0001-46;3138681676 / 31;Conceição do Mato Dentro;Rua Farmac. Orlando Guerra, 284;Bandeirinha;35860-000;3117504;MG;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS COMPRAS: 5,HOS FISCAL: 5,HOS REPLICADOR: 5,FARMÁCIA POPULAR: 5,HOSTRIBUTARIO: 5,HOSCLOUD BACKUP: 7
37004;Drogaria Mega Popular - Rede Soma - PAULO;07.746.935/0001-60;3138681093 / 31984713419;Conceição do Mato Dentro;Av. Bias Fortes, 2;Centro;35860-000;3117504;MG;Sim;CLIENTE;30.0;MERCHFARMA: 9,HOS P344: 9,HOS COMPRAS: 9,HOS FISCAL: 9,HOS REPLICADOR: 9,ESTAÇÃO ADICIONAL: 4,FARMÁCIA POPULAR: 9,HOSTRIBUTARIO: 9,HOSCLOUD BACKUP: 7
37009;Drogaria Betel - Rede Soma - ROMULO;22.504.898/0001-78;3438142000 / 3438141515;Patos de Minas;Rua Formiga, 11;Rosario;38701-024;3148004;MG;Sim;CLIENTE;30.0;MERCHFARMA: 4,HOS P344: 4,HOS FISCAL: 4,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 4,HOSTRIBUTARIO: 4
37010;DrogaMila;30.694.986/0001-08;3135751077 / 31;Moeda;Av. do Comercio 201 Loja 01;Centro;35470-000;3142304;MG;Sim;CLIENTE;30.0;MERCHFARMA: 1,HOS P344: 1,FARMÁCIA POPULAR: 1,HOSTRIBUTARIO: 1
37013;Drogaria Bem Estar - Rede Inova;29.812.758/0001-06;3237531600 / 3298111800;Miradouro;Av. Juscelino Kubitschek, 08 terreo 1;centro;36893-000;3142106;MG;Sim;CLIENTE;32.0;MERCHFARMA: 5,HOS P344: 5,HOS FISCAL: 5,HOS REPLICADOR: 5,FARMÁCIA POPULAR: 5,HOSTRIBUTARIO: 5
37014;Manipharma - Rede Soma;04.524.797/0001-87;2732882509 / 27988812708;Marechal Floriano;Rua Davide Canal, 37 Terreo Comercio;Centro;29255-000;3203346;ES;Sim;CLIENTE;10.0;MERCHFARMA: 5,HOS P344: 5,HOS FÓRMULA: 5,FARMÁCIA POPULAR: 5,HOSTRIBUTARIO: 5,HOS DIGITALIZE: 5,HOSCLOUD BACKUP: 2
37017;Hiper Popular - Matriz;11.819.926/0001-20;3335331351 / 33988109291;Novo Cruzeiro;Av. Julio Campos, 380;Centro;39820-000;3145307;MG;Sim;CLIENTE;30.0;HOS DIGITALIZE: 1
37019;Drogaria Popular;10.970.717/0001-10;6234571105 / 62;Monte Alegre de Goiás;Rua 2, Qd M, Lt 14A sala 01;Setor Palmares;73830-000;5213509;GO;Sim;CLIENTE;30.0;MERCHFARMA: 6,HOS P344: 6,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 6,HOSTRIBUTARIO: 6,HOS DIGITALIZE: 6,HOSCLOUD BACKUP: 6,HOSCHAT: 6
37020;Farmacia Socorro Certo - Asfarma - ANDRE;08.734.503/0001-00;7532819184 / 75;Paulo Afonso;Av. Tancredo Neves, 93;Perpetuo Socorro;48603-241;2924009;BA;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3,FARMÁCIA POPULAR: 3,HOSTRIBUTARIO: 3
37021;Farmacia Pontao ;31.090.336/0001-16;54999715557 / 54984436336;Pontão;Av Julio Mailhos, 1733;Centro;99190-000;4314779;RS;Sim;CLIENTE;10.0;MERCHFARMA: 3,HOS P344: 3,ESTAÇÃO ADICIONAL: 2,HOSCLOUD BACKUP: 3
37026;Drogaria Nsa Sra Aparecida - Rede Soma ;24.234.775/0001-90;3138526060 / 3138501350;João Monlevade;Av. Getulio Vargas, 5285;Carneirinhos;35930-003;3136207;MG;Sim;CLIENTE;15.0;MERCHFARMA: 23,HOS P344: 23,HOS FISCAL: 23,ESTAÇÃO ADICIONAL: 8,FARMÁCIA POPULAR: 23,HOSTRIBUTARIO: 23,HOSPEDIDOS: 23
37029;Farmacia Sao Cristovao - Rede Master Farma;17.073.037/0001-42;4734560302 / 47997789989;Barra Velha;Rua Valdemar Francisco, 202, sala 03;Sao Cristovao;88390-000;4202107;SC;Sim;CLIENTE;10.0;MERCHFARMA: 5,HOS P344: 5,HOS REPLICADOR: 5,FARMÁCIA POPULAR: 5,HOSCLOUD BACKUP: 3,INTEGRAÇÃO IFOOD: 0
37033;Farmacia Santa Catarina - COOPEFARMA - CLEONIDES;08.507.154/0001-86;8436535355 / 84;Natal;Av. Dr. Mario Negocio, 1824;Quintas;59040-000;2408102;RN;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,FARMÁCIA POPULAR: 2
37035;Droga + Maua - Matriz;30.646.958/0001-15;2126313123 / 21976434343;Magé;Rua Roberto Silveira, S/N, Lote 04;Praia do Imperador (;25926-390;3302502;RJ;Sim;CLIENTE;15.0;MERCHFARMA: 5,HOS P344: 5,HOS REPLICADOR: 5
37040;Drogaria Nsa Sra do Carmo - CLEONIDES;30.923.177/0001-20;84988446942 / 84;Natal;Av. das Fronteiras, 273C;N.S da Apresentação;59114-035;2408102;RN;Sim;CLIENTE;30.0;MERCHFARMA: 1,HOS P344: 1,FARMÁCIA POPULAR: 1
37041;Drogaria Cidade Nova - Rede Soma ;08.087.790/0001-04;3835411954 / 3835411960;Serro;Rua Barao Diamantina, 220;Cidade Nova;39150-000;3167103;MG;Sim;CLIENTE;30.0;MERCHFARMA: 9,HOS P344: 9,HOS FISCAL: 9,HOS REPLICADOR: 9,ESTAÇÃO ADICIONAL: 3,FARMÁCIA POPULAR: 9,HOSTRIBUTARIO: 9,HOS DIGITALIZE: 9,HOSCLOUD BACKUP: 9
37042;Drogaria Cosmeticos - FABIANO;27.685.476/0001-60;7133783805 / 71;Lauro de Freitas;Av. Brigadeiro Mario Epinghaus, 903;Centro;42703-640;2919207;BA;Sim;CLIENTE;15.0;MERCHFARMA: 3,HOS P344: 3,FARMÁCIA POPULAR: 3,HOSTRIBUTARIO: 3
37043;Drogaria Vila Farma - BEEASY;18.120.266/0001-33;27998498265 / 27;Colatina;Rua Castelo Branco, 1281;Santo Antonio;29704-051;3201506;ES;Sim;CLIENTE;32.0;MERCHFARMA: 5,HOS P344: 5,HOSTRIBUTARIO: 5
37049;Farmacia DNA Saude - ANDRE;30.929.164/0001-69;84987433333 / 84;São Gonçalo do Amarante;Rod RN160 Est Natal A Sao Goncalo S/N;S Antonio do Potengi;59297-396;2412005;RN;Sim;CLIENTE;32.0;MERCHFARMA: 2,HOS P344: 2,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 2,HOSCLOUD BACKUP: 2
37051;Drogaria Nsa Sra de Lourdes - Rede Soma;23.249.584/0001-39;3334361211 / 33;Rio Vermelho;Av. Aurelio Rodrigues Magalhaes, 20;Centro;39170-000;3156007;MG;Sim;CLIENTE;3.0;MERCHFARMA: 6,HOS P344: 6,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 6,HOSTRIBUTARIO: 6,HOS DIGITALIZE: 6,HOSCLOUD BACKUP: 5
37052;Drogaria 3R;21.141.569/0001-47;31984266616 / 31;Congonhas do Norte;Rua Monte Negro, 49;centro;35850-000;3118106;MG;Sim;CLIENTE;15.0;MERCHFARMA: 4,HOS P344: 4,FARMÁCIA POPULAR: 4
37056;Farmacia Vila Farma - FABIANO;30.906.685/0001-09;7133124719 / 71;Salvador;Av Jequitaia, 411, loj 1014;Agua de Meninos;40460-120;2927408;BA;Sim;CLIENTE;15.0;MERCHFARMA: 7,HOS P344: 7,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 7
37057;Drogaria Barao - PABLO;17.312.562/0001-73;3134422668 / 31999476575;Belo Horizonte;Rua Arariba, 309;Sao Cristovao;31230-718;3106200;MG;Sim;CLIENTE;10.0;MERCHFARMA: 4,HOS P344: 4,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 4,HOSTRIBUTARIO: 4
37059;Farmacia Heitor Benedetti;09.034.972/0001-71;5430553324 / 54;Bento Goncalves;Rua Mario Italvino Poletto, 235;Fenavinho;95703-360;4302105;RS;Sim;CLIENTE;360.0;MERCHFARMA: 2
37060;Drogaria e Perfumaria Bom Preco - PAULO;34.705.068/0001-98;3837434020 / 38;Pirapora;Rua Vereador Jose de Araujo Leite 206;Nsa Sra do Rosario;39276-300;3151206;MG;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2
37068;Farmavida - CLEONIDES;30.112.195/0001-22;84999217764 / 84;Rio do Fogo;Av Zumbi, 1616;Centro;59578-000;2408953;RN;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2,FARMÁCIA POPULAR: 2,HOSTRIBUTARIO: 2
37069;Farmacia Sao Jose - INOVAR;31.445.749/0001-76;88998313326 / 88;Pires Ferreira;Av. Joao Taumaturgo Dias, 05;Centro;62255-000;2310951;CE;Sim;CLIENTE;15.0;MERCHFARMA: 3,HOS P344: 3,HOS FISCAL: 3,HOSTRIBUTARIO: 3,RECARGA CELULAR RV: 3
37071;Drogaria Acacias - Rede Soma - PAULO;41.933.573/0001-55;3135327593 / 31;Betim;Av. das Acacias, 590 loja C ;Jardim Alterosas;32678-460;3106705;MG;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS REPLICADOR: 5,ESTAÇÃO ADICIONAL: 2,HOSTRIBUTARIO: 5,HOS DIGITALIZE: 5,HOSPEDIDOS: 5,FARMACIASAPP: 0,INTEGRAÇÃO IFOOD: 5,HOSCHAT: 4,INTEGRAÇÃO BLING: 5,HOSGESTAO: 4,INTEGRAÇÃO MAGGU: 5
37073;Drogaria Popular BH - Rede Soma - ANDRE;26.208.544/0001-37;31991782747 / 31;São José da Lapa;Rua Cel Virgilio Machado, 136 letra B ;Centro;33350-000;3162955;MG;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS COMPRAS: 5,HOSTRIBUTARIO: 5,HOSCLOUD BACKUP: 5,HOSGESTÃO PLUS: 5
37074;Barao Farma - Rede Soma - ANDRE;03.965.112/0001-75;3136237828 / 31;São José da Lapa;Rua Ma. Lourdes P. dos Santos, 11 loja 02;Dom Pedro;33350-000;3162955;MG;Sim;CLIENTE;15.0;MERCHFARMA: 5,HOS P344: 5,HOS COMPRAS: 5,HOSTRIBUTARIO: 5,HOS DIGITALIZE: 5,HOSCLOUD BACKUP: 5,HOSGESTAO: 5
37076;Inova Pharma - Rede Soma - ROMULO;30.614.894/0001-70;3438351334 / 34;Cruzeiro da Fortaleza;Rua Alagoas, 341;Centro;38735-000;3120706;MG;Sim;CLIENTE;5.0;MERCHFARMA: 1,HOS P344: 1,HOSTRIBUTARIO: 1,HOSCLOUD BACKUP: 2
37077;Braga e Silva Drogaria Ltda - Filial 05 - Rede Inova (SE);17.853.589/0005-05;3334151678 / 33;Gonzaga;Av. Presidente Kennedy, 106;Centro;39720-000;3127503;MG;Sim;CLIENTE;30.0;MERCHFARMA: 7,HOS P344: 7,HOS FISCAL: 7,HOS REPLICADOR: 7,ESTAÇÃO ADICIONAL: 2,HOSTRIBUTARIO: 7,INTEGRAÇÃO SMARTPED: 7,INTEGRAÇÃO MAGGU: 7
37084;Drogaria Farma Plus - Rede Inova - CELULAH;08.923.586/0001-78;27996467730 / 27;Santa Leopoldina;Avenida Presidente Vargas, Nº 1519;Centro;29640-000;3204500;ES;Sim;CLIENTE;30.0;MERCHFARMA: 7,HOS P344: 7,HOS FISCAL: 7,HOSTRIBUTARIO: 7,HOSCLOUD BACKUP: 9
37094;Farmacia Conquista - Rede Inova;11.104.546/0001-09;2732866162 / 2730456322;Cariacica;Rua Vila Velha, 23;Nova Brasilia;29149-460;3201308;ES;Sim;CLIENTE;1.0;MERCHFARMA: 16,HOS P344: 16,HOS FISCAL: 16,ESTAÇÃO ADICIONAL: 1,FARMÁCIA POPULAR: 16,HOSTRIBUTARIO: 16,HOS DIGITALIZE: 16
37097;Drogaria Costa Verde;30.400.175/0001-57;2433773791 / 24;Angra dos Reis;Av. Joao Pedro II, 409;Camorim;23912-440;3300100;RJ;Sim;CLIENTE;30.0;MERCHFARMA: 3,HOS P344: 3
37101;Farmacia da Luciana - Rede Inova ;11.500.457/0001-81;3332431864 / 33998703336;Central de Minas;Praca da Matriz, 182;Centro;35260-000;3115706;MG;Sim;CLIENTE;1.0;MERCHFARMA: 4,HOS P344: 4,HOS FISCAL: 4,ESTAÇÃO ADICIONAL: 1,HOSTRIBUTARIO: 4,HOS DIGITALIZE: 4
37102;Drogaria Nova Perimetral - Filial 1;32.195.341/0001-56;1128961001 / 11;Santo André;Rua Coronel Seabra, 321;Vila Marina;09176-000;3547809;SP;Sim;CLIENTE;10.0;MERCHFARMA: 3,HOS P344: 3,HOS FISCAL: 3,HOS REPLICADOR: 3,FARMÁCIA POPULAR: 3
37106;Drogaria Sao Cristovao - Rede Soma ;32.134.083/0001-06;3434750189 / 34;Serra do Salitre;Rua Begonia, 654;Flores;38760-000;3166808;MG;Sim;CLIENTE;1.0;MERCHFARMA: 2,HOS P344: 2,HOS FISCAL: 2,HOSTRIBUTARIO: 2
37107;Farmacia Sao Lucas - PAULO;21.252.037/0001-87;7436282095 / 74;Piritiba;Alameda Sampaio, 24;Centro;44830-000;2924801;BA;Sim;CLIENTE;20.0;MERCHFARMA: 3,HOS P344: 3,ESTAÇÃO ADICIONAL: 1,HOS PRÉ VENDA APP: 3
37108;Braga e Silva Drogaria Ltda - Matriz Rede Inova (SE);17.853.589/0001-73;3332961555 / 33;Sardoá;Praca Santo Antonio, 19 ;Centro;39728-000;3165503;MG;Sim;CLIENTE;1.0;MERCHFARMA: 5,HOS P344: 5,HOS COMPRAS: 5,HOS FISCAL: 5,HOS REPLICADOR: 3,HOSTRIBUTARIO: 1,INTEGRAÇÃO MAGGU: 5
37109;Mais Saude - PAULO;31.524.194/0001-58;46999726592 / 46;Pranchita;Rua Tapajos, 33;Centro;85730-000;4120358;PR;Sim;CLIENTE;30.0;MERCHFARMA: 2,HOS P344: 2
37110;Drogaria Acacias - Rede Soma - PAULO;41.933.573/0002-36;3135327124 / 31;Betim;Av. Belo Horizonte, 1505 Frente D;Niteroi ;32672-105;3106705;MG;Sim;CLIENTE;30.0;MERCHFARMA: 5,HOS P344: 5,HOS REPLICADOR: 5,ESTAÇÃO ADICIONAL: 2,HOSCHAT: 4,HOSGESTAO: 1,INTEGRAÇÃO MAGGU: 5
37114;Albuquerque Farma - INOVAR;20.534.234/0001-26;81999200503 / 81997215549;Igarassu;Rua Maria Luiza da Silva, 119 A;Encanto Igarassu;53620-280;2606804;PE;Sim;CLIENTE;15.0;MERCHFARMA: 3,HOS P344: 3,HOSTRIBUTARIO: 3,HOSCLOUD BACKUP: 2
37115;Drogaria Preco Baixo - Melhor Compra;09.300.000/0001-81;2127580973 / 21;Belford Roxo;Av. Joaquim da Costa Lima, 3371 ;Pq Sao Bernardo;26165-225;3300456;RJ;Sim;CLIENTE;3.0;MERCHFARMA: 6,HOS P344: 6,HOS FINANÇAS: 6,HOS REPLICADOR: 3,HOSTRIBUTARIO: 6,HOSDASHBOARD: 6
